transaction_id,transaction_date,posting_date,currency,amount,transaction_type,category,sub_category,counterparty,payment_method,department,cost_center,transaction_status, invoice_id,due_date,settlement_date
43,23-09-2024,01-11-2023,PLN,$-38460.69,Transfer,Operations,Logistics,Eimbee,Debit Card,Sales,CC-960 ,Reversed,INV-83009,06-10-2023,03-02-2025
44,07-08-2024,,CNY,$191259.39,Expense,Technology,Software Subscriptions,Quire,Cash,Legal,CC-550 ,Reversed,INV-63989,7/30/2024,2/26/2024
45,08-11-2023,,PHP,$-33295.08,Income,Payroll,Advertising,Gigashots,Cash,Sales,CC-481 ,Reversed,INV-49741,08-04-2023,10/19/2024
46,09-04-2024,24-11-2024,ZAR,$196543.22,Income,Sales,Cloud Services,Quaxo,Debit Card,Business Development,CC-125 ,Pending,INV-09488,10/13/2024,1/16/2024
47,15-10-2024,22-05-2023,CNY,$-4774.34,Income,Administration,Rent,Realcube,Credit Card,Engineering,CC-973 ,Posted,INV-47186,9/18/2024,06-07-2024
48,20-10-2023,14-10-2024,KZT,$187873.36,Transfer,Operations,Software Subscriptions,Skibox,Cash,Sales,CC-907 ,Pending,INV-96750,5/17/2024,11/22/2023
49,04-09-2023,27-03-2023,HTG,$171311.54,Income,Sales,Salaries,Shuffletag,Debit Card,Services,CC-455 ,Posted,INV-66222,3/31/2024,4/26/2023
50,23-12-2023,07-03-2023,IDR,$7367.74,Income,Marketing,Rent,Devcast,Bank Transfer,Human Resources,CC-557 ,Pending,INV-66336,08-07-2023,04-11-2023
51,23-05-2024,17-12-2023,CNY,$123907.53,Income,Payroll,Rent,Skilith,Debit Card,Research and Development,CC-593 ,Pending,INV-00724,2/17/2024,02-12-2025
52,03-06-2023,23-11-2023,IDR,$144316.75,Income,Technology,Salaries,Plambee,Bank Transfer,Business Development,CC-642 ,Posted,INV-07059,12-06-2024,08-03-2024
53,01-09-2023,29-04-2023,CNY,$89834.69,Expense,Technology,Rent,Skyvu,UPI,Human Resources,CC-301 ,Failed,INV-89198,7/16/2023,10/29/2023
54,26-10-2023,14-04-2024,CNY,$10204.52,Income,Technology,Software Subscriptions,Rhyzio,Credit Card,Marketing,CC-461 ,Pending,INV-09539,04-02-2023,3/15/2024
55,26-01-2023,28-10-2024,PHP,$139021.41,Transfer,Sales,Cloud Services,Bubbletube,Bank Transfer,Training,CC-424 ,Reversed,INV-42945,9/18/2023,6/17/2024
56,15-03-2024,09-07-2023,CNY,$15040.71,Expense,Administration,Advertising,Jabbertype,Cash,Business Development,CC-240 ,Pending,INV-47867,8/23/2023,3/14/2023
57,27-12-2024,09-10-2024,CNY,$38180.31,Income,Sales,Salaries,Kazu,Credit Card,Research and Development,CC-317 ,Reversed,INV-73810,12/25/2024,3/17/2024
58,05-03-2023,06-10-2024,UAH,$181457.02,Transfer,Operations,Advertising,JumpXS,Credit Card,Engineering,CC-722 ,Posted,INV-41332,12/22/2024,6/16/2024
59,18-03-2023,19-10-2023,COP,$57253.90,Income,Administration,Salaries,Realbridge,UPI,Legal,CC-902 ,Failed,INV-04940,7/29/2023,12-05-2023
60,01-04-2024,01-02-2023,USD,$-14094.97,Expense,Sales,Cloud Services,Twitterbeat,Bank Transfer,Research and Development,CC-632 ,Reversed,INV-71440,12-02-2023,01-12-2023
61,13-08-2024,28-01-2023,ZAR,$170766.17,Transfer,Administration,Advertising,Dynava,Debit Card,Product Management,CC-818 ,Posted,INV-57833,01-11-2025,04-10-2024
62,19-07-2023,09-09-2024,EUR,$155303.98,Expense,Sales,Salaries,Skaboo,Cash,Support,CC-199 ,Pending,INV-74159,04-12-2023,5/14/2024
63,16-04-2024,20-04-2023,PHP,$-44466.44,Expense,Payroll,Rent,Skiba,Credit Card,Research and Development,CC-052 ,Failed,INV-74094,5/26/2024,11/14/2024
64,18-05-2024,22-10-2023,GHS,$142794.50,Transfer,Marketing,Cloud Services,Jazzy,UPI,Support,CC-727 ,Posted,INV-99299,03-08-2024,5/20/2024
65,30-03-2023,,USD,$45458.76,Expense,Administration,Cloud Services,Dabfeed,Cash,Support,CC-391 ,Failed,INV-96444,06-08-2024,5/21/2023
66,19-09-2024,02-02-2024,BWP,$3759.85,Transfer,Marketing,Logistics,Livetube,Credit Card,Product Management,CC-158 ,Reversed,INV-72325,1/15/2023,10/26/2024
67,15-04-2024,23-09-2024,CNY,$22125.97,Income,Sales,Logistics,Fadeo,Bank Transfer,Engineering,CC-410 ,Reversed,INV-46791,3/26/2025,1/31/2023
68,14-12-2024,21-01-2024,JPY,$-41991.31,Transfer,Administration,Rent,Skyvu,Bank Transfer,Support,CC-243 ,Failed,INV-54537,01-04-2024,3/26/2025
69,14-03-2024,11-02-2024,PHP,$118960.79,Transfer,Administration,Cloud Services,Topicblab,UPI,Training,CC-051 ,Posted,INV-59161,6/29/2023,11-07-2023
70,06-12-2023,13-09-2024,RUB,$52576.82,Transfer,Administration,Software Subscriptions,Mudo,UPI,Product Management,CC-839 ,Reversed,INV-09586,01-11-2025,12-05-2023
71,30-07-2024,08-02-2024,CZK,$66958.43,Income,Operations,Rent,Twitterworks,Bank Transfer,Human Resources,CC-344 ,Posted,INV-03763,10/28/2023,2/16/2024
72,23-06-2023,17-10-2024,BRL,$5799.81,Expense,Sales,Salaries,Realbridge,UPI,Business Development,CC-571 ,Posted,INV-33515,12-11-2023,01-02-2023
73,20-07-2023,24-11-2023,JMD,$-3486.70,Expense,Marketing,Software Subscriptions,Feednation,Debit Card,Product Management,CC-387 ,Pending,INV-10067,10-05-2024,9/25/2024
74,02-02-2024,25-03-2024,EUR,$36260.38,Expense,Operations,Advertising,Bluejam,Credit Card,Accounting,CC-635 ,Failed,INV-86919,8/23/2023,6/25/2023
75,21-06-2024,29-11-2024,CNY,$190554.14,Income,Sales,Rent,Zoovu,UPI,Accounting,CC-493 ,Posted,INV-87165,3/13/2025,6/23/2024
76,13-09-2024,24-01-2023,UAH,$-1748.68,Expense,Operations,Cloud Services,Yakijo,Bank Transfer,Research and Development,CC-709 ,Posted,INV-06714,3/26/2025,10-04-2023
77,23-11-2024,11-04-2023,CNY,$71933.94,Income,Technology,Salaries,Wikizz,Cash,Business Development,CC-941 ,Pending,INV-59787,1/16/2025,10-07-2024
78,11-11-2023,27-01-2023,CZK,$71366.52,Income,Sales,Logistics,Fivebridge,Cash,Training,CC-144 ,Posted,INV-05066,8/29/2024,10/24/2024
79,15-03-2023,05-12-2023,IDR,$177403.54,Expense,Sales,Logistics,Cogibox,Bank Transfer,Marketing,CC-201 ,Pending,INV-35585,5/28/2023,12-02-2023
80,04-05-2024,22-10-2024,EUR,$-37366.66,Expense,Operations,Rent,Gevee,UPI,Research and Development,CC-941 ,Reversed,INV-08731,2/23/2024,3/25/2025
81,18-01-2023,,RUB,$123698.21,Income,Operations,Cloud Services,Jabbersphere,Debit Card,Legal,CC-947 ,Posted,INV-94910,9/22/2024,11/18/2023
82,29-07-2024,23-11-2024,XOF,$45659.35,Income,Payroll,Cloud Services,Katz,Debit Card,Marketing,CC-071 ,Posted,INV-23158,10/14/2023,09-08-2024
83,28-03-2023,04-05-2024,CNY,$27022.40,Expense,Technology,Cloud Services,Kamba,UPI,Training,CC-909 ,Posted,INV-64929,03-10-2025,3/16/2025
84,06-11-2024,19-05-2023,AFN,$-104.77,Transfer,Marketing,Salaries,Youfeed,Debit Card,Business Development,CC-150 ,Posted,INV-51831,1/18/2024,1/31/2025
85,14-12-2023,12-06-2024,USD,$40780.39,Income,Administration,Software Subscriptions,Bubblebox,Cash,Product Management,CC-419 ,Failed,INV-23792,10/14/2023,8/26/2023
86,10-05-2023,09-07-2023,EUR,$18051.25,Income,Payroll,Cloud Services,Tavu,Credit Card,Support,CC-013 ,Posted,INV-44770,01-05-2024,1/16/2023
87,21-08-2024,19-12-2023,NOK,$89651.98,Income,Sales,Rent,Tagopia,Debit Card,Marketing,CC-026 ,Pending,INV-29751,3/18/2024,1/15/2024
88,28-10-2023,20-12-2024,GBP,$166554.94,Income,Administration,Software Subscriptions,Twiyo,Debit Card,Services,CC-668 ,Pending,INV-93887,9/28/2024,07-08-2024
89,22-01-2024,29-03-2024,EUR,$-47461.43,Expense,Administration,Rent,Yakitri,Bank Transfer,Engineering,CC-123 ,Failed,INV-52318,10/20/2023,01-08-2023
90,30-12-2024,29-05-2024,IDR,$-22977.71,Expense,Payroll,Rent,Kazio,Credit Card,Accounting,CC-355 ,Pending,INV-66475,4/14/2024,12-08-2024
91,02-06-2024,03-06-2024,PHP,$167128.84,Income,Marketing,Software Subscriptions,Topicware,Credit Card,Legal,CC-187 ,Failed,INV-42218,03-07-2025,11/30/2023
92,09-02-2023,12-11-2024,UAH,$26644.71,Income,Technology,Software Subscriptions,Jaxbean,Debit Card,Accounting,CC-354 ,Pending,INV-09156,02-06-2025,5/27/2024
93,04-12-2023,03-01-2023,BRL,$70132.37,Transfer,Operations,Cloud Services,Mymm,Cash,Sales,CC-333 ,Posted,INV-93569,11-08-2023,08-09-2023
94,04-02-2023,04-07-2023,IDR,$90115.43,Transfer,Technology,Logistics,Photolist,UPI,Services,CC-539 ,Failed,INV-72963,7/16/2024,7/31/2023
95,10-07-2023,05-10-2024,VEF,$93266.68,Transfer,Sales,Advertising,Camido,UPI,Support,CC-877 ,Pending,INV-00459,2/17/2024,7/17/2024
96,09-03-2024,11-12-2024,AFN,$14222.49,Transfer,Marketing,Advertising,Zoombeat,Cash,Business Development,CC-004 ,Failed,INV-70918,2/25/2025,02-08-2024
97,23-09-2024,16-10-2023,MGA,$-28734.62,Income,Administration,Salaries,Gabcube,Bank Transfer,Research and Development,CC-141 ,Failed,INV-86535,3/17/2023,1/23/2024
98,03-11-2023,,EUR,$72664.48,Income,Marketing,Logistics,Linkbridge,Debit Card,Marketing,CC-266 ,Reversed,INV-10999,02-03-2025,01-04-2023
99,30-06-2024,26-11-2023,EUR,$115383.29,Expense,Marketing,Cloud Services,Mydeo,Debit Card,Marketing,CC-707 ,Pending,INV-41483,6/21/2023,12/19/2024
100,27-05-2024,19-06-2024,CNY,$-17445.11,Income,Sales,Software Subscriptions,Vinder,Cash,Services,CC-607 ,Posted,INV-64453,07-11-2024,03-05-2023
101,28-11-2024,24-04-2023,YER,$67837.73,Transfer,Payroll,Cloud Services,Devify,Debit Card,Marketing,CC-874 ,Posted,INV-81302,3/18/2023,06-10-2023
102,30-01-2024,18-09-2023,BWP,$198182.83,Income,Operations,Logistics,Wikibox,Debit Card,Business Development,CC-743 ,Pending,INV-11156,2/13/2023,9/27/2024
103,14-04-2023,28-09-2024,RUB,$95432.26,Income,Operations,Salaries,Ozu,Debit Card,Marketing,CC-630 ,Reversed,INV-85662,7/26/2024,4/29/2024
104,28-03-2024,31-07-2023,CNY,$986.90,Transfer,Operations,Logistics,Yambee,Debit Card,Research and Development,CC-050 ,Posted,INV-15804,3/13/2024,01-09-2024
105,19-01-2023,10-09-2023,PEN,$179418.53,Income,Operations,Salaries,Meejo,UPI,Business Development,CC-141 ,Failed,INV-15317,05-10-2024,01-10-2023
106,30-08-2023,18-10-2024,IDR,$168320.63,Income,Operations,Cloud Services,Skinder,Cash,Support,CC-949 ,Pending,INV-71023,4/20/2023,11-08-2024
107,13-03-2023,05-03-2023,CNY,$71753.29,Transfer,Operations,Logistics,Twimm,UPI,Support,CC-050 ,Failed,INV-42303,01-12-2024,6/26/2023
108,03-03-2024,21-04-2024,EUR,$103524.47,Expense,Sales,Software Subscriptions,Fivespan,Debit Card,Training,CC-288 ,Failed,INV-54489,3/15/2024,10/19/2023
109,06-12-2023,23-11-2024,GBP,$141414.47,Expense,Technology,Logistics,Eadel,Credit Card,Human Resources,CC-184 ,Reversed,INV-77535,1/16/2023,10/21/2024
110,21-06-2023,07-02-2023,CNY,$117139.62,Transfer,Technology,Salaries,Photojam,Cash,Marketing,CC-083 ,Pending,INV-35911,7/14/2023,03-11-2025
111,22-06-2024,17-11-2024,IDR,$128638.06,Transfer,Marketing,Software Subscriptions,Oyoloo,UPI,Product Management,CC-910 ,Reversed,INV-63813,09-11-2023,03-08-2023
112,21-10-2023,22-11-2023,PHP,$164067.43,Transfer,Administration,Logistics,Muxo,UPI,Research and Development,CC-037 ,Failed,INV-63202,12/30/2023,05-02-2024
113,08-04-2024,05-06-2023,PHP,$50428.17,Income,Marketing,Software Subscriptions,Chatterpoint,Bank Transfer,Training,CC-603 ,Failed,INV-60648,1/19/2025,4/13/2023
114,08-03-2024,24-08-2023,IDR,$141399.34,Income,Technology,Salaries,Tazzy,Debit Card,Business Development,CC-532 ,Posted,INV-35573,8/31/2024,10/17/2023
115,16-04-2023,17-03-2024,CNY,$-3937.18,Transfer,Operations,Advertising,Twiyo,Debit Card,Product Management,CC-828 ,Failed,INV-77037,03-01-2025,2/26/2023
116,02-07-2024,26-02-2024,IDR,$168479.20,Expense,Sales,Software Subscriptions,Jayo,Cash,Sales,CC-614 ,Posted,INV-10271,2/26/2024,6/18/2023
117,10-10-2024,09-10-2023,USD,$161688.23,Income,Administration,Rent,Kimia,UPI,Human Resources,CC-225 ,Reversed,INV-53131,01-04-2025,10/13/2023
118,03-04-2023,04-05-2024,RUB,$62334.18,Expense,Technology,Rent,Mynte,Cash,Legal,CC-730 ,Failed,INV-95828,09-10-2024,9/30/2024
119,15-12-2024,28-08-2023,EUR,$-35371.70,Income,Payroll,Logistics,Kazio,Bank Transfer,Support,CC-795 ,Failed,INV-12266,03-02-2024,12/29/2024
120,08-06-2024,08-05-2023,CNY,$93080.73,Transfer,Administration,Cloud Services,Rhynoodle,Cash,Product Management,CC-173 ,Posted,INV-99603,12/13/2024,1/21/2024
121,18-04-2024,18-07-2023,CUP,$97901.84,Transfer,Administration,Advertising,Twitterbeat,Bank Transfer,Human Resources,CC-965 ,Posted,INV-99557,6/19/2024,5/23/2023
122,20-02-2023,16-03-2023,EUR,$-24820.46,Transfer,Administration,Cloud Services,Viva,Credit Card,Product Management,CC-307 ,Posted,INV-04214,07-07-2024,4/22/2024
123,11-04-2023,17-05-2024,CNY,$126308.06,Expense,Marketing,Cloud Services,Trupe,Cash,Marketing,CC-799 ,Posted,INV-75615,8/27/2024,1/13/2025
124,23-01-2023,20-11-2024,DKK,$122519.04,Income,Technology,Advertising,Zoombox,UPI,Product Management,CC-896 ,Reversed,INV-25121,9/28/2024,3/15/2024
125,16-12-2023,,UAH,$79882.77,Transfer,Sales,Logistics,Oyonder,Cash,Training,CC-503 ,Pending,INV-22211,01-05-2024,01-02-2025
126,15-05-2023,09-06-2023,CNY,$-41233.42,Income,Sales,Cloud Services,Leexo,Cash,Engineering,CC-065 ,Pending,INV-78774,1/18/2024,09-08-2023
127,03-07-2023,06-06-2024,BRL,$88096.93,Transfer,Operations,Software Subscriptions,Digitube,UPI,Sales,CC-819 ,Failed,INV-03131,09-02-2023,07-05-2023
128,11-04-2024,29-04-2023,IDR,$48925.19,Expense,Administration,Logistics,Zoomlounge,Debit Card,Sales,CC-422 ,Reversed,INV-78061,09-08-2023,7/16/2023
129,26-01-2024,13-02-2023,IDR,$94589.88,Transfer,Operations,Advertising,Tagcat,Bank Transfer,Product Management,CC-009 ,Failed,INV-04711,7/30/2024,03-10-2024
130,24-05-2023,,CNY,$112978.56,Income,Operations,Cloud Services,Fivespan,Debit Card,Engineering,CC-786 ,Pending,INV-25163,2/13/2024,7/15/2024
131,05-08-2024,05-03-2024,ARS,$48586.59,Income,Payroll,Cloud Services,Babblestorm,UPI,Support,CC-093 ,Reversed,INV-04821,10/18/2023,2/14/2023
132,12-11-2024,20-08-2023,IDR,$88757.40,Expense,Administration,Software Subscriptions,Photospace,Debit Card,Sales,CC-598 ,Reversed,INV-13611,5/23/2024,01-03-2025
133,07-07-2024,07-08-2024,USD,$12512.80,Expense,Administration,Logistics,Browsedrive,UPI,Marketing,CC-740 ,Posted,INV-43434,02-04-2025,2/13/2025
134,05-09-2023,11-03-2023,CNY,$25856.95,Income,Payroll,Software Subscriptions,Kwinu,Bank Transfer,Sales,CC-229 ,Failed,INV-45636,4/22/2023,8/25/2024
135,30-04-2023,06-01-2024,MXN,$43576.53,Expense,Payroll,Logistics,Twitterbeat,Bank Transfer,Training,CC-823 ,Pending,INV-46073,5/28/2023,9/20/2023
136,04-09-2023,05-10-2024,PHP,$117266.67,Income,Marketing,Software Subscriptions,Flashpoint,Cash,Legal,CC-970 ,Posted,INV-05243,3/20/2025,1/22/2023
137,16-08-2023,24-08-2024,EUR,$73057.47,Income,Marketing,Cloud Services,Skimia,Debit Card,Legal,CC-924 ,Failed,INV-28784,7/18/2024,05-06-2023
138,16-04-2023,25-03-2023,NPR,$5111.62,Transfer,Technology,Logistics,Kimia,Cash,Services,CC-037 ,Pending,INV-34370,05-02-2024,01-09-2025
139,26-08-2023,,THB,$-39503.00,Transfer,Administration,Rent,Linkbuzz,Debit Card,Business Development,CC-161 ,Posted,INV-01870,03-03-2025,2/29/2024
140,24-09-2023,14-09-2024,BRL,$-6818.05,Transfer,Marketing,Software Subscriptions,Rhynyx,Cash,Accounting,CC-365 ,Posted,INV-07560,1/15/2025,6/14/2023
141,21-01-2024,05-03-2023,MXN,$172601.16,Income,Administration,Logistics,Fiveclub,Debit Card,Marketing,CC-700 ,Pending,INV-28648,01-04-2023,09-06-2023
142,27-05-2024,11-07-2024,EUR,$182338.39,Expense,Technology,Salaries,Voonder,UPI,Engineering,CC-680 ,Pending,INV-58941,11-09-2023,8/29/2023
143,09-04-2024,01-03-2024,MXN,$85127.72,Expense,Administration,Advertising,Gabvine,UPI,Sales,CC-764 ,Failed,INV-07346,6/24/2023,10/29/2023
144,02-05-2024,14-03-2024,JPY,$86730.54,Expense,Marketing,Cloud Services,Ntags,UPI,Sales,CC-580 ,Failed,INV-40584,10/25/2023,05-07-2023
145,23-02-2024,13-08-2024,GTQ,$-5039.58,Expense,Operations,Rent,Minyx,UPI,Support,CC-208 ,Reversed,INV-22716,9/20/2023,12/25/2024
146,04-03-2024,06-11-2024,IDR,$184687.85,Expense,Operations,Logistics,Roodel,Debit Card,Engineering,CC-295 ,Posted,INV-61832,8/19/2023,11-05-2024
147,30-05-2024,17-05-2023,CNY,$54881.05,Expense,Marketing,Salaries,Jetwire,Cash,Product Management,CC-101 ,Failed,INV-38064,3/16/2024,02-07-2025
148,05-04-2024,26-05-2023,PLN,$94631.53,Expense,Operations,Logistics,Rooxo,UPI,Marketing,CC-972 ,Pending,INV-77521,8/13/2024,12/27/2024
149,18-06-2023,06-10-2023,EUR,$48052.96,Transfer,Sales,Cloud Services,Centidel,Cash,Accounting,CC-347 ,Failed,INV-65228,11/23/2024,5/16/2023
150,30-12-2023,06-07-2024,CNY,$81193.60,Expense,Operations,Advertising,Kazu,Cash,Marketing,CC-595 ,Failed,INV-29281,1/28/2024,11/14/2023
151,24-03-2024,13-08-2024,EUR,$119033.66,Income,Sales,Software Subscriptions,Flipstorm,Bank Transfer,Services,CC-399 ,Failed,INV-59935,5/19/2024,1/25/2024
152,07-11-2024,14-03-2024,HRK,$50690.38,Income,Marketing,Advertising,Bluezoom,Credit Card,Support,CC-096 ,Reversed,INV-09119,06-07-2023,11/30/2023
153,22-06-2023,20-09-2023,EUR,$41273.49,Transfer,Technology,Rent,Livefish,Cash,Human Resources,CC-246 ,Posted,INV-09379,01-04-2024,6/26/2023
154,17-02-2023,04-06-2023,JPY,$186494.84,Income,Operations,Salaries,Jabbercube,UPI,Training,CC-633 ,Reversed,INV-72473,2/15/2023,01-05-2023
155,13-11-2023,,CNY,$136982.30,Transfer,Administration,Advertising,Meevee,Debit Card,Support,CC-530 ,Reversed,INV-29791,1/14/2024,12-03-2024
156,08-10-2024,02-04-2024,RUB,$76492.63,Transfer,Marketing,Salaries,Dabfeed,Cash,Legal,CC-271 ,Reversed,INV-64128,3/22/2025,9/24/2023
157,30-11-2024,02-09-2024,KMF,$123229.68,Expense,Administration,Software Subscriptions,Youfeed,Cash,Human Resources,CC-656 ,Failed,INV-47097,3/14/2023,02-04-2025
158,13-02-2024,22-02-2024,LTL,$6559.06,Expense,Sales,Logistics,Babbleopia,Credit Card,Human Resources,CC-118 ,Pending,INV-78606,2/16/2023,1/26/2025
159,05-06-2024,20-06-2024,IDR,$36325.53,Income,Technology,Rent,Skibox,Credit Card,Sales,CC-215 ,Posted,INV-85928,4/30/2024,1/19/2024
