transaction_id,transaction_date,posting_date,currency,amount,transaction_type,category,sub_category,counterparty,payment_method,department,cost_center,transaction_status, invoice_id,due_date,settlement_date,expense
16,08-08-2024,30-08-2023,RUB,8969.37,Expense,Technology,Cloud Services,Rhynyx,Bank Transfer,Research and Development,CC-898 ,Pending,INV-96615,29-04-2024,29-07-2023,0
17,14-06-2023,05-08-2023,PLN,4542.56,Transfer,Operations,Salaries,Centimia,Bank Transfer,Sales,CC-653 ,Reversed,INV-46259,27-08-2024,18-10-2023,0
18,28-10-2023,18-06-2023,IDR,185434.31,Expense,Payroll,Advertising,Avamm,Debit Card,Business Development,CC-943 ,Pending,INV-04674,25-07-2023,18-08-2024,0
19,11-06-2023,20-08-2023,PHP,72811.72,Expense,Marketing,Logistics,Miboo,Debit Card,Human Resources,CC-725 ,Posted,INV-86721,11-09-2024,02-04-2024,0
20,17-11-2023,09-02-2023,EUR,59367.67,Expense,Marketing,Software Subscriptions,Trunyx,Cash,Human Resources,CC-180 ,Failed,INV-84198,09-09-2023,01-08-2023,0
21,22-01-2024,18-08-2024,PEN,0,Expense,Sales,Logistics,Feedfire,Debit Card,Engineering,CC-995 ,Posted,INV-72402,03-11-2023,15-01-2024,43805.82
22,21-12-2023,16-07-2023,PHP,0,Expense,Sales,Rent,Wordware,Debit Card,Human Resources,CC-807 ,Reversed,INV-32045,29-05-2024,19-02-2025,1559.61
23,03-07-2023,02-07-2023,IDR,171976.51,Expense,Marketing,Software Subscriptions,Quire,Debit Card,Business Development,CC-244 ,Pending,INV-36728,31-01-2023,20-03-2025,0
24,16-07-2023,,IDR,33413.9,Transfer,Operations,Cloud Services,Skidoo,Bank Transfer,Human Resources,CC-734 ,Pending,INV-97486,23-09-2023,04-03-2023,0
25,30-01-2023,26-05-2024,COP,135471.14,Income,Operations,Salaries,Trilith,Cash,Business Development,CC-160 ,Posted,INV-30629,24-02-2023,05-03-2025,0
26,12-06-2024,25-02-2023,IDR,0,Expense,Payroll,Rent,Myworks,Bank Transfer,Training,CC-629 ,Reversed,INV-71614,10-01-2024,04-08-2024,3349.75
27,01-04-2023,08-10-2023,RUB,0,Expense,Sales,Cloud Services,Aibox,Credit Card,Accounting,CC-159 ,Reversed,INV-39059,18-09-2023,28-04-2024,45737.88
28,14-07-2024,27-02-2023,RUB,7151.25,Income,Administration,Logistics,Quamba,Debit Card,Marketing,CC-660 ,Pending,INV-63527,23-01-2023,25-07-2024,0
29,02-10-2023,03-01-2023,XOF,132430.84,Income,Operations,Cloud Services,Kamba,Debit Card,Engineering,CC-181 ,Pending,INV-06361,01-08-2023,15-11-2024,0
30,24-07-2023,12-02-2024,CNY,0,Income,Administration,Cloud Services,Gabcube,UPI,Training,CC-130 ,Pending,INV-76081,25-11-2023,09-02-2023,9031.31
31,08-03-2024,,CNY,3375.11,Transfer,Administration,Cloud Services,Mymm,Credit Card,Human Resources,CC-124 ,Posted,INV-57410,09-07-2024,14-01-2024,0
32,13-04-2024,08-03-2024,EUR,76870.34,Expense,Marketing,Advertising,Mybuzz,Cash,Services,CC-467 ,Reversed,INV-96840,02-12-2024,21-03-2024,0
33,07-07-2023,04-01-2024,KRW,146468.3,Transfer,Operations,Rent,Dabjam,Cash,Research and Development,CC-392 ,Reversed,INV-93770,28-09-2024,04-10-2024,0
34,20-10-2024,10-09-2023,EUR,92121.64,Transfer,Administration,Salaries,Realbridge,Debit Card,Training,CC-824 ,Reversed,INV-36901,01-07-2025,11-08-2023,0
35,15-11-2024,23-01-2023,PEN,59138.03,Transfer,Payroll,Rent,Blogspan,Credit Card,Marketing,CC-891 ,Posted,INV-32324,01-10-2025,18-06-2023,0
36,22-11-2023,18-11-2024,USD,177009.98,Transfer,Marketing,Cloud Services,Zooxo,Cash,Product Management,CC-188 ,Reversed,INV-54707,30-06-2024,29-05-2023,0
37,01-01-2024,25-10-2024,EGP,0,Income,Payroll,Advertising,Lazzy,Cash,Training,CC-921 ,Failed,INV-65585,18-07-2023,18-08-2024,13846.79
38,01-05-2023,18-05-2024,PEN,65352.11,Income,Technology,Rent,Aimbu,UPI,Support,CC-383 ,Pending,INV-83910,12-12-2024,22-06-2023,0
39,14-02-2023,18-08-2023,MMK,0,Expense,Operations,Rent,Nlounge,UPI,Product Management,CC-484 ,Pending,INV-91645,29-04-2024,20-02-2025,22325.66
40,30-05-2023,09-02-2024,UAH,61778.28,Income,Sales,Cloud Services,Tazzy,Debit Card,Accounting,CC-269 ,Failed,INV-09754,21-08-2024,04-10-2024,0
41,25-10-2024,13-07-2024,MXN,31133.69,Expense,Sales,Cloud Services,Buzzdog,Cash,Support,CC-513 ,Posted,INV-79290,23-03-2024,08-05-2023,0
42,07-07-2024,03-03-2023,PHP,0,Transfer,Payroll,Advertising,Photobug,Cash,Business Development,CC-010 ,Pending,INV-46942,11-09-2024,07-03-2025,7776.46
43,23-09-2024,01-11-2023,PLN,0,Transfer,Operations,Logistics,Eimbee,Debit Card,Sales,CC-960 ,Reversed,INV-83009,06-10-2023,02-03-2025,38460.69
44,07-08-2024,,CNY,191259.39,Expense,Technology,Software Subscriptions,Quire,Cash,Legal,CC-550 ,Reversed,INV-63989,30-07-2024,26-02-2024,0
45,08-11-2023,,PHP,0,Income,Payroll,Advertising,Gigashots,Cash,Sales,CC-481 ,Reversed,INV-49741,08-04-2023,19-10-2024,33295.08
46,09-04-2024,24-11-2024,ZAR,196543.22,Income,Sales,Cloud Services,Quaxo,Debit Card,Business Development,CC-125 ,Pending,INV-09488,13-10-2024,16-01-2024,0
47,15-10-2024,22-05-2023,CNY,0,Income,Administration,Rent,Realcube,Credit Card,Engineering,CC-973 ,Posted,INV-47186,18-09-2024,07-06-2024,4774.34
48,20-10-2023,14-10-2024,KZT,187873.36,Transfer,Operations,Software Subscriptions,Skibox,Cash,Sales,CC-907 ,Pending,INV-96750,17-05-2024,22-11-2023,0
49,04-09-2023,27-03-2023,HTG,171311.54,Income,Sales,Salaries,Shuffletag,Debit Card,Services,CC-455 ,Posted,INV-66222,31-03-2024,26-04-2023,0
50,23-12-2023,07-03-2023,IDR,7367.74,Income,Marketing,Rent,Devcast,Bank Transfer,Human Resources,CC-557 ,Pending,INV-66336,08-07-2023,11-04-2023,0
51,23-05-2024,17-12-2023,CNY,123907.53,Income,Payroll,Rent,Skilith,Debit Card,Research and Development,CC-593 ,Pending,INV-00724,17-02-2024,12-02-2025,0
52,03-06-2023,23-11-2023,IDR,144316.75,Income,Technology,Salaries,Plambee,Bank Transfer,Business Development,CC-642 ,Posted,INV-07059,12-06-2024,03-08-2024,0
53,01-09-2023,29-04-2023,CNY,89834.69,Expense,Technology,Rent,Skyvu,UPI,Human Resources,CC-301 ,Failed,INV-89198,16-07-2023,29-10-2023,0
54,26-10-2023,14-04-2024,CNY,10204.52,Income,Technology,Software Subscriptions,Rhyzio,Credit Card,Marketing,CC-461 ,Pending,INV-09539,04-02-2023,15-03-2024,0
55,26-01-2023,28-10-2024,PHP,139021.41,Transfer,Sales,Cloud Services,Bubbletube,Bank Transfer,Training,CC-424 ,Reversed,INV-42945,18-09-2023,17-06-2024,0
56,15-03-2024,09-07-2023,CNY,15040.71,Expense,Administration,Advertising,Jabbertype,Cash,Business Development,CC-240 ,Pending,INV-47867,23-08-2023,14-03-2023,0
57,27-12-2024,09-10-2024,CNY,38180.31,Income,Sales,Salaries,Kazu,Credit Card,Research and Development,CC-317 ,Reversed,INV-73810,25-12-2024,17-03-2024,0
58,05-03-2023,06-10-2024,UAH,181457.02,Transfer,Operations,Advertising,JumpXS,Credit Card,Engineering,CC-722 ,Posted,INV-41332,22-12-2024,16-06-2024,0
59,18-03-2023,19-10-2023,COP,57253.9,Income,Administration,Salaries,Realbridge,UPI,Legal,CC-902 ,Failed,INV-04940,29-07-2023,05-12-2023,0
60,01-04-2024,01-02-2023,USD,0,Expense,Sales,Cloud Services,Twitterbeat,Bank Transfer,Research and Development,CC-632 ,Reversed,INV-71440,12-02-2023,12-01-2023,14094.97
61,13-08-2024,28-01-2023,ZAR,170766.17,Transfer,Administration,Advertising,Dynava,Debit Card,Product Management,CC-818 ,Posted,INV-57833,01-11-2025,10-04-2024,0
62,19-07-2023,09-09-2024,EUR,155303.98,Expense,Sales,Salaries,Skaboo,Cash,Support,CC-199 ,Pending,INV-74159,04-12-2023,14-05-2024,0
63,16-04-2024,20-04-2023,PHP,0,Expense,Payroll,Rent,Skiba,Credit Card,Research and Development,CC-052 ,Failed,INV-74094,26-05-2024,14-11-2024,44466.44
64,18-05-2024,22-10-2023,GHS,142794.5,Transfer,Marketing,Cloud Services,Jazzy,UPI,Support,CC-727 ,Posted,INV-99299,03-08-2024,20-05-2024,0
65,30-03-2023,,USD,45458.76,Expense,Administration,Cloud Services,Dabfeed,Cash,Support,CC-391 ,Failed,INV-96444,06-08-2024,21-05-2023,0
66,19-09-2024,02-02-2024,BWP,3759.85,Transfer,Marketing,Logistics,Livetube,Credit Card,Product Management,CC-158 ,Reversed,INV-72325,15-01-2023,26-10-2024,0
67,15-04-2024,23-09-2024,CNY,22125.97,Income,Sales,Logistics,Fadeo,Bank Transfer,Engineering,CC-410 ,Reversed,INV-46791,26-03-2025,31-01-2023,0
68,14-12-2024,21-01-2024,JPY,0,Transfer,Administration,Rent,Skyvu,Bank Transfer,Support,CC-243 ,Failed,INV-54537,01-04-2024,26-03-2025,41991.31
69,14-03-2024,11-02-2024,PHP,118960.79,Transfer,Administration,Cloud Services,Topicblab,UPI,Training,CC-051 ,Posted,INV-59161,29-06-2023,07-11-2023,0
70,06-12-2023,13-09-2024,RUB,52576.82,Transfer,Administration,Software Subscriptions,Mudo,UPI,Product Management,CC-839 ,Reversed,INV-09586,01-11-2025,05-12-2023,0
71,30-07-2024,08-02-2024,CZK,66958.43,Income,Operations,Rent,Twitterworks,Bank Transfer,Human Resources,CC-344 ,Posted,INV-03763,28-10-2023,16-02-2024,0
72,23-06-2023,17-10-2024,BRL,5799.81,Expense,Sales,Salaries,Realbridge,UPI,Business Development,CC-571 ,Posted,INV-33515,12-11-2023,02-01-2023,0
73,20-07-2023,24-11-2023,JMD,0,Expense,Marketing,Software Subscriptions,Feednation,Debit Card,Product Management,CC-387 ,Pending,INV-10067,10-05-2024,25-09-2024,3486.7
74,02-02-2024,25-03-2024,EUR,36260.38,Expense,Operations,Advertising,Bluejam,Credit Card,Accounting,CC-635 ,Failed,INV-86919,23-08-2023,25-06-2023,0
75,21-06-2024,29-11-2024,CNY,190554.14,Income,Sales,Rent,Zoovu,UPI,Accounting,CC-493 ,Posted,INV-87165,13-03-2025,23-06-2024,0
76,13-09-2024,24-01-2023,UAH,0,Expense,Operations,Cloud Services,Yakijo,Bank Transfer,Research and Development,CC-709 ,Posted,INV-06714,26-03-2025,04-10-2023,1748.68
77,23-11-2024,11-04-2023,CNY,71933.94,Income,Technology,Salaries,Wikizz,Cash,Business Development,CC-941 ,Pending,INV-59787,16-01-2025,07-10-2024,0
78,11-11-2023,27-01-2023,CZK,71366.52,Income,Sales,Logistics,Fivebridge,Cash,Training,CC-144 ,Posted,INV-05066,29-08-2024,24-10-2024,0
79,15-03-2023,05-12-2023,IDR,177403.54,Expense,Sales,Logistics,Cogibox,Bank Transfer,Marketing,CC-201 ,Pending,INV-35585,28-05-2023,02-12-2023,0
80,04-05-2024,22-10-2024,EUR,0,Expense,Operations,Rent,Gevee,UPI,Research and Development,CC-941 ,Reversed,INV-08731,23-02-2024,25-03-2025,37366.66
81,18-01-2023,,RUB,123698.21,Income,Operations,Cloud Services,Jabbersphere,Debit Card,Legal,CC-947 ,Posted,INV-94910,22-09-2024,18-11-2023,0
82,29-07-2024,23-11-2024,XOF,45659.35,Income,Payroll,Cloud Services,Katz,Debit Card,Marketing,CC-071 ,Posted,INV-23158,14-10-2023,08-09-2024,0
83,28-03-2023,04-05-2024,CNY,27022.4,Expense,Technology,Cloud Services,Kamba,UPI,Training,CC-909 ,Posted,INV-64929,03-10-2025,16-03-2025,0
84,06-11-2024,19-05-2023,AFN,0,Transfer,Marketing,Salaries,Youfeed,Debit Card,Business Development,CC-150 ,Posted,INV-51831,18-01-2024,31-01-2025,104.77
85,14-12-2023,12-06-2024,USD,40780.39,Income,Administration,Software Subscriptions,Bubblebox,Cash,Product Management,CC-419 ,Failed,INV-23792,14-10-2023,26-08-2023,0
86,10-05-2023,09-07-2023,EUR,18051.25,Income,Payroll,Cloud Services,Tavu,Credit Card,Support,CC-013 ,Posted,INV-44770,01-05-2024,16-01-2023,0
87,21-08-2024,19-12-2023,NOK,89651.98,Income,Sales,Rent,Tagopia,Debit Card,Marketing,CC-026 ,Pending,INV-29751,18-03-2024,15-01-2024,0
88,28-10-2023,20-12-2024,GBP,166554.94,Income,Administration,Software Subscriptions,Twiyo,Debit Card,Services,CC-668 ,Pending,INV-93887,28-09-2024,08-07-2024,0
89,22-01-2024,29-03-2024,EUR,0,Expense,Administration,Rent,Yakitri,Bank Transfer,Engineering,CC-123 ,Failed,INV-52318,20-10-2023,08-01-2023,47461.43
90,30-12-2024,29-05-2024,IDR,0,Expense,Payroll,Rent,Kazio,Credit Card,Accounting,CC-355 ,Pending,INV-66475,14-04-2024,08-12-2024,22977.71
91,02-06-2024,03-06-2024,PHP,167128.84,Income,Marketing,Software Subscriptions,Topicware,Credit Card,Legal,CC-187 ,Failed,INV-42218,03-07-2025,30-11-2023,0
92,09-02-2023,12-11-2024,UAH,26644.71,Income,Technology,Software Subscriptions,Jaxbean,Debit Card,Accounting,CC-354 ,Pending,INV-09156,02-06-2025,27-05-2024,0
93,04-12-2023,03-01-2023,BRL,70132.37,Transfer,Operations,Cloud Services,Mymm,Cash,Sales,CC-333 ,Posted,INV-93569,11-08-2023,09-08-2023,0
94,04-02-2023,04-07-2023,IDR,90115.43,Transfer,Technology,Logistics,Photolist,UPI,Services,CC-539 ,Failed,INV-72963,16-07-2024,31-07-2023,0
95,10-07-2023,05-10-2024,VEF,93266.68,Transfer,Sales,Advertising,Camido,UPI,Support,CC-877 ,Pending,INV-00459,17-02-2024,17-07-2024,0
96,09-03-2024,11-12-2024,AFN,14222.49,Transfer,Marketing,Advertising,Zoombeat,Cash,Business Development,CC-004 ,Failed,INV-70918,25-02-2025,08-02-2024,0
97,23-09-2024,16-10-2023,MGA,0,Income,Administration,Salaries,Gabcube,Bank Transfer,Research and Development,CC-141 ,Failed,INV-86535,17-03-2023,23-01-2024,28734.62
98,03-11-2023,,EUR,72664.48,Income,Marketing,Logistics,Linkbridge,Debit Card,Marketing,CC-266 ,Reversed,INV-10999,02-03-2025,04-01-2023,0
99,30-06-2024,26-11-2023,EUR,115383.29,Expense,Marketing,Cloud Services,Mydeo,Debit Card,Marketing,CC-707 ,Pending,INV-41483,21-06-2023,19-12-2024,0
100,27-05-2024,19-06-2024,CNY,0,Income,Sales,Software Subscriptions,Vinder,Cash,Services,CC-607 ,Posted,INV-64453,07-11-2024,05-03-2023,17445.11
101,28-11-2024,24-04-2023,YER,67837.73,Transfer,Payroll,Cloud Services,Devify,Debit Card,Marketing,CC-874 ,Posted,INV-81302,18-03-2023,10-06-2023,0
102,30-01-2024,18-09-2023,BWP,198182.83,Income,Operations,Logistics,Wikibox,Debit Card,Business Development,CC-743 ,Pending,INV-11156,13-02-2023,27-09-2024,0
103,14-04-2023,28-09-2024,RUB,95432.26,Income,Operations,Salaries,Ozu,Debit Card,Marketing,CC-630 ,Reversed,INV-85662,26-07-2024,29-04-2024,0
104,28-03-2024,31-07-2023,CNY,986.9,Transfer,Operations,Logistics,Yambee,Debit Card,Research and Development,CC-050 ,Posted,INV-15804,13-03-2024,09-01-2024,0
105,19-01-2023,10-09-2023,PEN,179418.53,Income,Operations,Salaries,Meejo,UPI,Business Development,CC-141 ,Failed,INV-15317,05-10-2024,10-01-2023,0
106,30-08-2023,18-10-2024,IDR,168320.63,Income,Operations,Cloud Services,Skinder,Cash,Support,CC-949 ,Pending,INV-71023,20-04-2023,08-11-2024,0
107,13-03-2023,05-03-2023,CNY,71753.29,Transfer,Operations,Logistics,Twimm,UPI,Support,CC-050 ,Failed,INV-42303,01-12-2024,26-06-2023,0
108,03-03-2024,21-04-2024,EUR,103524.47,Expense,Sales,Software Subscriptions,Fivespan,Debit Card,Training,CC-288 ,Failed,INV-54489,15-03-2024,19-10-2023,0
109,06-12-2023,23-11-2024,GBP,141414.47,Expense,Technology,Logistics,Eadel,Credit Card,Human Resources,CC-184 ,Reversed,INV-77535,16-01-2023,21-10-2024,0
110,21-06-2023,07-02-2023,CNY,117139.62,Transfer,Technology,Salaries,Photojam,Cash,Marketing,CC-083 ,Pending,INV-35911,14-07-2023,11-03-2025,0
111,22-06-2024,17-11-2024,IDR,128638.06,Transfer,Marketing,Software Subscriptions,Oyoloo,UPI,Product Management,CC-910 ,Reversed,INV-63813,09-11-2023,08-03-2023,0
112,21-10-2023,22-11-2023,PHP,164067.43,Transfer,Administration,Logistics,Muxo,UPI,Research and Development,CC-037 ,Failed,INV-63202,30-12-2023,02-05-2024,0
113,08-04-2024,05-06-2023,PHP,50428.17,Income,Marketing,Software Subscriptions,Chatterpoint,Bank Transfer,Training,CC-603 ,Failed,INV-60648,19-01-2025,13-04-2023,0
114,08-03-2024,24-08-2023,IDR,141399.34,Income,Technology,Salaries,Tazzy,Debit Card,Business Development,CC-532 ,Posted,INV-35573,31-08-2024,17-10-2023,0
115,16-04-2023,17-03-2024,CNY,0,Transfer,Operations,Advertising,Twiyo,Debit Card,Product Management,CC-828 ,Failed,INV-77037,03-01-2025,26-02-2023,3937.18
116,02-07-2024,26-02-2024,IDR,168479.2,Expense,Sales,Software Subscriptions,Jayo,Cash,Sales,CC-614 ,Posted,INV-10271,26-02-2024,18-06-2023,0
117,10-10-2024,09-10-2023,USD,161688.23,Income,Administration,Rent,Kimia,UPI,Human Resources,CC-225 ,Reversed,INV-53131,01-04-2025,13-10-2023,0
118,03-04-2023,04-05-2024,RUB,62334.18,Expense,Technology,Rent,Mynte,Cash,Legal,CC-730 ,Failed,INV-95828,09-10-2024,30-09-2024,0
119,15-12-2024,28-08-2023,EUR,0,Income,Payroll,Logistics,Kazio,Bank Transfer,Support,CC-795 ,Failed,INV-12266,03-02-2024,29-12-2024,35371.7
120,08-06-2024,08-05-2023,CNY,93080.73,Transfer,Administration,Cloud Services,Rhynoodle,Cash,Product Management,CC-173 ,Posted,INV-99603,13-12-2024,21-01-2024,0
121,18-04-2024,18-07-2023,CUP,97901.84,Transfer,Administration,Advertising,Twitterbeat,Bank Transfer,Human Resources,CC-965 ,Posted,INV-99557,19-06-2024,23-05-2023,0
122,20-02-2023,16-03-2023,EUR,0,Transfer,Administration,Cloud Services,Viva,Credit Card,Product Management,CC-307 ,Posted,INV-04214,07-07-2024,22-04-2024,24820.46
123,11-04-2023,17-05-2024,CNY,126308.06,Expense,Marketing,Cloud Services,Trupe,Cash,Marketing,CC-799 ,Posted,INV-75615,27-08-2024,13-01-2025,0
124,23-01-2023,20-11-2024,DKK,122519.04,Income,Technology,Advertising,Zoombox,UPI,Product Management,CC-896 ,Reversed,INV-25121,28-09-2024,15-03-2024,0
125,16-12-2023,,UAH,79882.77,Transfer,Sales,Logistics,Oyonder,Cash,Training,CC-503 ,Pending,INV-22211,01-05-2024,02-01-2025,0
126,15-05-2023,09-06-2023,CNY,0,Income,Sales,Cloud Services,Leexo,Cash,Engineering,CC-065 ,Pending,INV-78774,18-01-2024,08-09-2023,41233.42
127,03-07-2023,06-06-2024,BRL,88096.93,Transfer,Operations,Software Subscriptions,Digitube,UPI,Sales,CC-819 ,Failed,INV-03131,09-02-2023,05-07-2023,0
128,11-04-2024,29-04-2023,IDR,48925.19,Expense,Administration,Logistics,Zoomlounge,Debit Card,Sales,CC-422 ,Reversed,INV-78061,09-08-2023,16-07-2023,0
129,26-01-2024,13-02-2023,IDR,94589.88,Transfer,Operations,Advertising,Tagcat,Bank Transfer,Product Management,CC-009 ,Failed,INV-04711,30-07-2024,10-03-2024,0
130,24-05-2023,,CNY,112978.56,Income,Operations,Cloud Services,Fivespan,Debit Card,Engineering,CC-786 ,Pending,INV-25163,13-02-2024,15-07-2024,0
131,05-08-2024,05-03-2024,ARS,48586.59,Income,Payroll,Cloud Services,Babblestorm,UPI,Support,CC-093 ,Reversed,INV-04821,18-10-2023,14-02-2023,0
132,12-11-2024,20-08-2023,IDR,88757.4,Expense,Administration,Software Subscriptions,Photospace,Debit Card,Sales,CC-598 ,Reversed,INV-13611,23-05-2024,03-01-2025,0
133,07-07-2024,07-08-2024,USD,12512.8,Expense,Administration,Logistics,Browsedrive,UPI,Marketing,CC-740 ,Posted,INV-43434,02-04-2025,13-02-2025,0
134,05-09-2023,11-03-2023,CNY,25856.95,Income,Payroll,Software Subscriptions,Kwinu,Bank Transfer,Sales,CC-229 ,Failed,INV-45636,22-04-2023,25-08-2024,0
135,30-04-2023,06-01-2024,MXN,43576.53,Expense,Payroll,Logistics,Twitterbeat,Bank Transfer,Training,CC-823 ,Pending,INV-46073,28-05-2023,20-09-2023,0
136,04-09-2023,05-10-2024,PHP,117266.67,Income,Marketing,Software Subscriptions,Flashpoint,Cash,Legal,CC-970 ,Posted,INV-05243,20-03-2025,22-01-2023,0
137,16-08-2023,24-08-2024,EUR,73057.47,Income,Marketing,Cloud Services,Skimia,Debit Card,Legal,CC-924 ,Failed,INV-28784,18-07-2024,06-05-2023,0
138,16-04-2023,25-03-2023,NPR,5111.62,Transfer,Technology,Logistics,Kimia,Cash,Services,CC-037 ,Pending,INV-34370,05-02-2024,09-01-2025,0
139,26-08-2023,,THB,0,Transfer,Administration,Rent,Linkbuzz,Debit Card,Business Development,CC-161 ,Posted,INV-01870,03-03-2025,29-02-2024,39503
140,24-09-2023,14-09-2024,BRL,0,Transfer,Marketing,Software Subscriptions,Rhynyx,Cash,Accounting,CC-365 ,Posted,INV-07560,15-01-2025,14-06-2023,6818.05
141,21-01-2024,05-03-2023,MXN,172601.16,Income,Administration,Logistics,Fiveclub,Debit Card,Marketing,CC-700 ,Pending,INV-28648,01-04-2023,06-09-2023,0
142,27-05-2024,11-07-2024,EUR,182338.39,Expense,Technology,Salaries,Voonder,UPI,Engineering,CC-680 ,Pending,INV-58941,11-09-2023,29-08-2023,0
143,09-04-2024,01-03-2024,MXN,85127.72,Expense,Administration,Advertising,Gabvine,UPI,Sales,CC-764 ,Failed,INV-07346,24-06-2023,29-10-2023,0
144,02-05-2024,14-03-2024,JPY,86730.54,Expense,Marketing,Cloud Services,Ntags,UPI,Sales,CC-580 ,Failed,INV-40584,25-10-2023,07-05-2023,0
145,23-02-2024,13-08-2024,GTQ,0,Expense,Operations,Rent,Minyx,UPI,Support,CC-208 ,Reversed,INV-22716,20-09-2023,25-12-2024,5039.58
146,04-03-2024,06-11-2024,IDR,184687.85,Expense,Operations,Logistics,Roodel,Debit Card,Engineering,CC-295 ,Posted,INV-61832,19-08-2023,05-11-2024,0
147,30-05-2024,17-05-2023,CNY,54881.05,Expense,Marketing,Salaries,Jetwire,Cash,Product Management,CC-101 ,Failed,INV-38064,16-03-2024,07-02-2025,0
148,05-04-2024,26-05-2023,PLN,94631.53,Expense,Operations,Logistics,Rooxo,UPI,Marketing,CC-972 ,Pending,INV-77521,13-08-2024,27-12-2024,0
149,18-06-2023,06-10-2023,EUR,48052.96,Transfer,Sales,Cloud Services,Centidel,Cash,Accounting,CC-347 ,Failed,INV-65228,23-11-2024,16-05-2023,0
150,30-12-2023,06-07-2024,CNY,81193.6,Expense,Operations,Advertising,Kazu,Cash,Marketing,CC-595 ,Failed,INV-29281,28-01-2024,14-11-2023,0
151,24-03-2024,13-08-2024,EUR,119033.66,Income,Sales,Software Subscriptions,Flipstorm,Bank Transfer,Services,CC-399 ,Failed,INV-59935,19-05-2024,25-01-2024,0
152,07-11-2024,14-03-2024,HRK,50690.38,Income,Marketing,Advertising,Bluezoom,Credit Card,Support,CC-096 ,Reversed,INV-09119,06-07-2023,30-11-2023,0
153,22-06-2023,20-09-2023,EUR,41273.49,Transfer,Technology,Rent,Livefish,Cash,Human Resources,CC-246 ,Posted,INV-09379,01-04-2024,26-06-2023,0
154,17-02-2023,04-06-2023,JPY,186494.84,Income,Operations,Salaries,Jabbercube,UPI,Training,CC-633 ,Reversed,INV-72473,15-02-2023,05-01-2023,0
155,13-11-2023,,CNY,136982.3,Transfer,Administration,Advertising,Meevee,Debit Card,Support,CC-530 ,Reversed,INV-29791,14-01-2024,03-12-2024,0
156,08-10-2024,02-04-2024,RUB,76492.63,Transfer,Marketing,Salaries,Dabfeed,Cash,Legal,CC-271 ,Reversed,INV-64128,22-03-2025,24-09-2023,0
157,30-11-2024,02-09-2024,KMF,123229.68,Expense,Administration,Software Subscriptions,Youfeed,Cash,Human Resources,CC-656 ,Failed,INV-47097,14-03-2023,04-02-2025,0
158,13-02-2024,22-02-2024,LTL,6559.06,Expense,Sales,Logistics,Babbleopia,Credit Card,Human Resources,CC-118 ,Pending,INV-78606,16-02-2023,26-01-2025,0
